age,age_group,sex,race,hispanic_origin,state,education_level,household_size,employment_status,marital_status,housing_tenure,income_bracket,has_bank_account,banking_status,primary_access_method
80,65+,Male,White,Non-Hispanic,TN,Bachelor's degree,3,Not in labor force - retired,Married - spouse present,Owns home,$150k+,Yes,Fully Banked,Online Banking
25,25-34,Male,White,Non-Hispanic,VA,Bachelor's degree,2,Employed,Married - spouse present,Owns home,$75k-$100k,Yes,Fully Banked,Mobile Banking App
68,65+,Male,White,Non-Hispanic,ID,Some college no degree,2,Not in labor force - retired,Married - spouse present,Owns home,$40k-$50k,No,Unbanked,N/A (Unbanked)
61,55-64,Male,White,Non-Hispanic,MT,Professional degree,2,Employed - absent from work,Married - spouse present,Owns home,$100k-$150k,Yes,Fully Banked,Mobile Banking App
56,55-64,Male,Multi-race/Other,Hispanic,CA,1st-4th grade,5,Employed,Separated,Owns home,$150k+,N/A,Fully Banked,N/A (Unbanked)
72,65+,Male,White,Non-Hispanic,VT,Some college no degree,3,Not in labor force - retired,Married - spouse present,Owns home,$100k-$150k,Yes,Fully Banked,Online Banking
36,35-44,Male,White,Non-Hispanic,NH,High school graduate,4,Unemployed - on layoff,Married - spouse present,Owns home,$50k-$60k,Yes,Fully Banked,Online Banking
73,65+,Male,White,Non-Hispanic,CA,Some college no degree,2,Not in labor force - retired,Married - spouse present,Owns home,$75k-$100k,Yes,Fully Banked,Mobile Banking App
77,65+,Male,White,Non-Hispanic,IN,Master's degree,2,Employed,Separated,Owns home,$75k-$100k,Yes,Underbanked,Mobile Banking App
70,65+,Male,White,Non-Hispanic,PA,High school graduate,2,Not in labor force - retired,Married - spouse present,Owns home,$35k-$40k,Yes,Fully Banked,ATM/Kiosk
38,35-44,Female,White,Hispanic,AZ,Bachelor's degree,3,Not in labor force - other,Married - spouse present,Owns home,$150k+,N/A,Fully Banked,N/A (Unbanked)
38,35-44,Male,White,Non-Hispanic,MN,Bachelor's degree,2,Employed,Married - spouse present,Owns home,$150k+,Yes,Underbanked,Bank Teller
30,25-34,Male,White,Non-Hispanic,CA,Bachelor's degree,3,Employed,Married - spouse present,Owns home,$150k+,Yes,Underbanked,Mobile Banking App
69,65+,Female,White,Non-Hispanic,MS,High school graduate,2,Not in labor force - retired,Married - spouse present,Owns home,$30k-$35k,Yes,Fully Banked,Bank Teller
32,25-34,Male,White,Non-Hispanic,WY,High school graduate,5,Employed,Never married,Rents home,$15k-$20k,N/A,Fully Banked,N/A (Unbanked)
79,65+,Male,White,Non-Hispanic,NV,Some college no degree,2,Not in labor force - retired,Married - spouse present,Owns home,$75k-$100k,N/A,Fully Banked,N/A (Unbanked)
24,18-24,Female,White,Non-Hispanic,PA,Some college no degree,4,Not in labor force - other,Never married,Owns home,$30k-$35k,Yes,Fully Banked,Online Banking
42,35-44,Female,White,Hispanic,NY,10th grade,5,Employed,Married - spouse present,Owns home,$150k+,Yes,Underbanked,ATM/Kiosk
65,65+,Male,Asian,Non-Hispanic,NY,High school graduate,4,Employed,Married - spouse present,Rents home,$100k-$150k,Yes,Fully Banked,Online Banking
55,55-64,Female,White,Non-Hispanic,MD,Master's degree,2,Employed,Married - spouse present,Owns home,$100k-$150k,Yes,Fully Banked,ATM/Kiosk
42,35-44,Male,Black,Non-Hispanic,NC,Some college no degree,5,Employed,Married - spouse present,Rents home,$15k-$20k,N/A,Fully Banked,N/A (Unbanked)
30,25-34,Male,White,Hispanic,IL,Some college no degree,2,Employed,Married - spouse present,Owns home,$60k-$75k,N/A,Fully Banked,N/A (Unbanked)
26,25-34,Male,White,Non-Hispanic,AL,Bachelor's degree,4,Employed,Married - spouse present,Owns home,$75k-$100k,N/A,Fully Banked,N/A (Unbanked)
48,45-54,Male,White,Non-Hispanic,LA,Master's degree,4,Employed,Married - spouse present,Rents home,$150k+,Yes,Fully Banked,Online Banking
24,18-24,Male,White,Non-Hispanic,MI,Associate degree occupational,3,Employed,Never married,Owns home,$150k+,Yes,Fully Banked,Mobile Banking App
64,55-64,Male,Black,Non-Hispanic,AL,High school graduate,2,Employed,Married - spouse present,Owns home,$100k-$150k,N/A,Fully Banked,N/A (Unbanked)
23,18-24,Female,White,Non-Hispanic,PA,Bachelor's degree,3,Not in labor force - other,Married - spouse present,Rents home,$75k-$100k,Yes,Fully Banked,Online Banking
64,55-64,Male,White,Non-Hispanic,ID,Some college no degree,2,Not in labor force - retired,Separated,Owns home,$75k-$100k,N/A,Fully Banked,N/A (Unbanked)
66,65+,Male,White,Non-Hispanic,FL,Associate degree academic,3,Not in labor force - retired,Divorced,Owns home,$50k-$60k,N/A,Fully Banked,N/A (Unbanked)
51,45-54,Male,Multi-race/Other,Non-Hispanic,CA,High school graduate,2,Employed - absent from work,Married - spouse present,Owns home,$75k-$100k,Yes,Fully Banked,Online Banking
74,65+,Female,White,Non-Hispanic,MO,High school graduate,2,Not in labor force - retired,Married - spouse present,Owns home,$30k-$35k,Yes,Fully Banked,Bank Teller
31,25-34,Male,White,Non-Hispanic,MA,7th-8th grade,4,Employed,Married - spouse present,Rents home,$50k-$60k,Yes,Underbanked,Bank Teller
51,45-54,Female,Black,Non-Hispanic,AL,Associate degree academic,2,Employed,Married - spouse present,Owns home,$60k-$75k,Yes,Fully Banked,Online Banking
52,45-54,Female,White,Non-Hispanic,WV,Master's degree,2,Not in labor force - disabled,Married - spouse present,Rents home,$40k-$50k,N/A,Fully Banked,N/A (Unbanked)
73,65+,Female,White,Non-Hispanic,CO,Bachelor's degree,2,Employed,Married - spouse present,Owns home,$150k+,N/A,Fully Banked,N/A (Unbanked)
37,35-44,Male,White,Non-Hispanic,OH,Associate degree occupational,4,Employed,Married - spouse present,Owns home,$75k-$100k,Yes,Underbanked,Online Banking
69,65+,Male,Black,Non-Hispanic,MD,Bachelor's degree,3,Not in labor force - retired,Married - spouse present,Rents home,$75k-$100k,Yes,Fully Banked,Bank Teller
45,45-54,Female,White,Non-Hispanic,WA,Associate degree academic,3,Employed,Divorced,Owns home,$150k+,Yes,Fully Banked,Online Banking
63,55-64,Female,White,Non-Hispanic,CT,Master's degree,2,Not in labor force - retired,Married - spouse present,Owns home,$75k-$100k,Yes,Fully Banked,ATM/Kiosk
76,65+,Male,White,Non-Hispanic,MN,Doctorate degree,2,Not in labor force - retired,Married - spouse present,Owns home,$75k-$100k,Yes,Fully Banked,Online Banking
38,35-44,Female,White,Non-Hispanic,WY,Master's degree,4,Employed,Married - spouse present,Owns home,$100k-$150k,N/A,Fully Banked,N/A (Unbanked)
44,35-44,Female,White,Non-Hispanic,NV,Bachelor's degree,5,Employed,Married - spouse present,Rents home,$100k-$150k,N/A,Fully Banked,N/A (Unbanked)
42,35-44,Female,Black,Non-Hispanic,FL,Associate degree academic,4,Employed,Never married,Rents home,$30k-$35k,N/A,Fully Banked,N/A (Unbanked)
44,35-44,Male,White,Non-Hispanic,CO,Master's degree,3,Employed,Married - spouse present,Owns home,$150k+,Yes,Fully Banked,Online Banking
18,18-24,Female,White,Non-Hispanic,KS,High school graduate,3,Employed,Never married,Rents home,$40k-$50k,N/A,Fully Banked,N/A (Unbanked)
76,65+,Male,White,Non-Hispanic,LA,Professional degree,2,Not in labor force - retired,Married - spouse present,Owns home,$150k+,Yes,Fully Banked,Mobile Banking App
